,data,epsp,config/sec,config/weight,config/saveFolder,config/simLabel
739,"epsp      2.820874
sec       apic_118
loc            0.5
weight       0.008
dtype: object",2.820874276036363,apic_118,0.008000000000000002,./grid_batch,grid_search_00739
740,"epsp      2.685134
sec       apic_119
loc            0.5
weight       0.008
dtype: object",2.685133861477268,apic_119,0.008000000000000002,./grid_batch,grid_search_00740
741,"epsp      3.995626
sec        apic_12
loc            0.5
weight       0.008
dtype: object",3.995625536769083,apic_12,0.008000000000000002,./grid_batch,grid_search_00741
742,"epsp      3.399615
sec       apic_120
loc            0.5
weight       0.008
dtype: object",3.399614720203374,apic_120,0.008000000000000002,./grid_batch,grid_search_00742
743,"epsp      3.597439
sec       apic_121
loc            0.5
weight       0.008
dtype: object",3.597439391632988,apic_121,0.008000000000000002,./grid_batch,grid_search_00743
744,"epsp      4.281048
sec       apic_122
loc            0.5
weight       0.008
dtype: object",4.281048468565274,apic_122,0.008000000000000002,./grid_batch,grid_search_00744
745,"epsp      2.753138
sec        apic_13
loc            0.5
weight       0.008
dtype: object",2.753138081085737,apic_13,0.008000000000000002,./grid_batch,grid_search_00745
746,"epsp      3.191892
sec        apic_14
loc            0.5
weight       0.008
dtype: object",3.191891577722543,apic_14,0.008000000000000002,./grid_batch,grid_search_00746
747,"epsp      2.384786
sec        apic_15
loc            0.5
weight       0.008
dtype: object",2.384786101872478,apic_15,0.008000000000000002,./grid_batch,grid_search_00747
748,"epsp      2.775759
sec        apic_16
loc            0.5
weight       0.008
dtype: object",2.775758543735364,apic_16,0.008000000000000002,./grid_batch,grid_search_00748
749,"epsp      5.674742
sec        apic_17
loc            0.5
weight       0.008
dtype: object",5.674741940229204,apic_17,0.008000000000000002,./grid_batch,grid_search_00749
750,"epsp      5.081256
sec        apic_18
loc            0.5
weight       0.008
dtype: object",5.081255922338386,apic_18,0.008000000000000002,./grid_batch,grid_search_00750
751,"epsp      4.668929
sec        apic_19
loc            0.5
weight       0.008
dtype: object",4.668928843837492,apic_19,0.008000000000000002,./grid_batch,grid_search_00751
752,"epsp      3.410473
sec         apic_2
loc            0.5
weight       0.008
dtype: object",3.410472613186712,apic_2,0.008000000000000002,./grid_batch,grid_search_00752
753,"epsp      4.507483
sec        apic_20
loc            0.5
weight       0.008
dtype: object",4.507483444874936,apic_20,0.008000000000000002,./grid_batch,grid_search_00753
754,"epsp      3.862715
sec        apic_21
loc            0.5
weight       0.008
dtype: object",3.862714986077605,apic_21,0.008000000000000002,./grid_batch,grid_search_00754
755,"epsp      2.124704
sec        apic_22
loc            0.5
weight       0.008
dtype: object",2.1247041662765582,apic_22,0.008000000000000002,./grid_batch,grid_search_00755
756,"epsp      2.180976
sec        apic_23
loc            0.5
weight       0.008
dtype: object",2.180976354441028,apic_23,0.008000000000000002,./grid_batch,grid_search_00756
757,"epsp      4.226514
sec        apic_24
loc            0.5
weight       0.008
dtype: object",4.226513643957759,apic_24,0.008000000000000002,./grid_batch,grid_search_00757
758,"epsp      2.74956
sec       apic_25
loc           0.5
weight      0.008
dtype: object",2.7495602784309052,apic_25,0.008000000000000002,./grid_batch,grid_search_00758
759,"epsp      2.610093
sec        apic_26
loc            0.5
weight       0.008
dtype: object",2.610093216884436,apic_26,0.008000000000000002,./grid_batch,grid_search_00759
760,"epsp      4.129758
sec        apic_27
loc            0.5
weight       0.008
dtype: object",4.129757698763555,apic_27,0.008000000000000002,./grid_batch,grid_search_00760
761,"epsp      2.712812
sec        apic_28
loc            0.5
weight       0.008
dtype: object",2.712811537405528,apic_28,0.008000000000000002,./grid_batch,grid_search_00761
762,"epsp      2.720747
sec        apic_29
loc            0.5
weight       0.008
dtype: object",2.72074743888875,apic_29,0.008000000000000002,./grid_batch,grid_search_00762
763,"epsp      6.396385
sec         apic_3
loc            0.5
weight       0.008
dtype: object",6.396385172767836,apic_3,0.008000000000000002,./grid_batch,grid_search_00763
764,"epsp      4.567007
sec        apic_30
loc            0.5
weight       0.008
dtype: object",4.567006570092964,apic_30,0.008000000000000002,./grid_batch,grid_search_00764
765,"epsp      3.859807
sec        apic_31
loc            0.5
weight       0.008
dtype: object",3.859807261653451,apic_31,0.008000000000000002,./grid_batch,grid_search_00765
766,"epsp      2.548695
sec        apic_32
loc            0.5
weight       0.008
dtype: object",2.548694594329845,apic_32,0.008000000000000002,./grid_batch,grid_search_00766
767,"epsp      2.321158
sec        apic_33
loc            0.5
weight       0.008
dtype: object",2.321157765475149,apic_33,0.008000000000000002,./grid_batch,grid_search_00767
768,"epsp      4.147897
sec        apic_34
loc            0.5
weight       0.008
dtype: object",4.147897317840645,apic_34,0.008000000000000002,./grid_batch,grid_search_00768
769,"epsp      2.503152
sec        apic_35
loc            0.5
weight       0.008
dtype: object",2.503152369911419,apic_35,0.008000000000000002,./grid_batch,grid_search_00769
770,"epsp      3.806752
sec        apic_36
loc            0.5
weight       0.008
dtype: object",3.806752036549632,apic_36,0.008000000000000002,./grid_batch,grid_search_00770
771,"epsp      2.080919
sec        apic_37
loc            0.5
weight       0.008
dtype: object",2.080918593714202,apic_37,0.008000000000000002,./grid_batch,grid_search_00771
772,"epsp      3.601997
sec        apic_38
loc            0.5
weight       0.008
dtype: object",3.601997189685647,apic_38,0.008000000000000002,./grid_batch,grid_search_00772
773,"epsp      1.895827
sec        apic_39
loc            0.5
weight       0.008
dtype: object",1.89582681050193,apic_39,0.008000000000000002,./grid_batch,grid_search_00773
774,"epsp      2.755237
sec         apic_4
loc            0.5
weight       0.008
dtype: object",2.755236672579158,apic_4,0.008000000000000002,./grid_batch,grid_search_00774
775,"epsp      3.525643
sec        apic_40
loc            0.5
weight       0.008
dtype: object",3.525642614428108,apic_40,0.008000000000000002,./grid_batch,grid_search_00775
776,"epsp      3.349065
sec        apic_41
loc            0.5
weight       0.008
dtype: object",3.349064629418777,apic_41,0.008000000000000002,./grid_batch,grid_search_00776
777,"epsp      2.902534
sec        apic_42
loc            0.5
weight       0.008
dtype: object",2.902533866964347,apic_42,0.008000000000000002,./grid_batch,grid_search_00777
778,"epsp      1.384438
sec        apic_43
loc            0.5
weight       0.008
dtype: object",1.3844383245702971,apic_43,0.008000000000000002,./grid_batch,grid_search_00778
779,"epsp      0.859046
sec        apic_44
loc            0.5
weight       0.008
dtype: object",0.8590463610180301,apic_44,0.008000000000000002,./grid_batch,grid_search_00779
780,"epsp      0.859046
sec        apic_45
loc            0.5
weight       0.008
dtype: object",0.8590460221057721,apic_45,0.008000000000000002,./grid_batch,grid_search_00780
781,"epsp      1.049647
sec        apic_46
loc            0.5
weight       0.008
dtype: object",1.049647048681208,apic_46,0.008000000000000002,./grid_batch,grid_search_00781
782,"epsp      1.721325
sec        apic_47
loc            0.5
weight       0.008
dtype: object",1.72132534902434,apic_47,0.008000000000000002,./grid_batch,grid_search_00782
783,"epsp      0.651508
sec        apic_48
loc            0.5
weight       0.008
dtype: object",0.6515076112830941,apic_48,0.008000000000000002,./grid_batch,grid_search_00783
784,"epsp      0.311696
sec        apic_49
loc            0.5
weight       0.008
dtype: object",0.311695901500797,apic_49,0.008000000000000002,./grid_batch,grid_search_00784
